sentence_id	article_id	topic_id	topic	title	publication	url	sentence
23	23	3	Synagogue shooting	Pittsburgh Shooter Kills 11 in Worst Synagogue Attack in U.S.	Bloomberg	https://www.bloomberg.com/news/articles/2018-10-27/pittsburgh-police-report-active-shooter-near-synagogue	Eisenberg, the former synagogue president, said officials at Tree of Life had not gotten any threats that he knew of before the shooting.
24	24	3	Synagogue shooting	Multiple people killed in shooting at Pittsburgh synagogue	The Hill	https://thehill.com/homenews/state-watch/413463-multiple-shot-killed-by-gunman-at-pittsburgh-synagogue	 Eight people are reportedly dead and more wounded after a gunman opened fire at a synagogue in Pittsburgh on Saturday morning.
25	24	3	Synagogue shooting	Multiple people killed in shooting at Pittsburgh synagogue	The Hill	https://thehill.com/homenews/state-watch/413463-multiple-shot-killed-by-gunman-at-pittsburgh-synagogue	Multiple law enforcement sources told local CBS affiliate KDKA and CNN that the gunman had been identified as Robert Bowers, 46.
26	24	3	Synagogue shooting	Multiple people killed in shooting at Pittsburgh synagogue	The Hill	https://thehill.com/homenews/state-watch/413463-multiple-shot-killed-by-gunman-at-pittsburgh-synagogue	Tom Wolf (D) wrote on Twitter that he was heading to the synagogue in Squirrel Hill, adding state police were assisting local law enforcement.
27	24	3	Synagogue shooting	Multiple people killed in shooting at Pittsburgh synagogue	The Hill	https://thehill.com/homenews/state-watch/413463-multiple-shot-killed-by-gunman-at-pittsburgh-synagogue	Police sources told KDKA that the suspected shooter made an anti-Semitic remark upon beginning the attack, shouting "all Jews must die" as he entered the building and opened fire.
28	24	3	Synagogue shooting	Multiple people killed in shooting at Pittsburgh synagogue	The Hill	https://thehill.com/homenews/state-watch/413463-multiple-shot-killed-by-gunman-at-pittsburgh-synagogue	"From Carnegie Mellon University Police Department: A police operation is occurring at the corner of Shady & Wilkins Avenue.
29	25	3	Synagogue shooting	Eleven dead, six wounded in Pittsburgh synagogue shooting; suspect in custody	The Washington Times	https://www.washingtontimes.com/news/2018/oct/27/shooting-mass-casualties-reported-tree-life-synago/	 Eleven people were killed Saturday morning during a mass-shooting at The Tree of Life Synagogue in Pittsburgh, Pennsylvania, that ended in the arrest of a single suspect, Robert Bowers, and the recovery of multiple weapons.
30	25	3	Synagogue shooting	Eleven dead, six wounded in Pittsburgh synagogue shooting; suspect in custody	The Washington Times	https://www.washingtontimes.com/news/2018/oct/27/shooting-mass-casualties-reported-tree-life-synago/	"This is the most horrific crime scene I've seen in 22 years," echoed Bob Jones, FBI special agent in charge at the bureau's Pittsburgh office, adding that 11 people were "brutally murdered by a gunman simply targeting them because of their faith."
31	25	3	Synagogue shooting	Eleven dead, six wounded in Pittsburgh synagogue shooting; suspect in custody	The Washington Times	https://www.washingtontimes.com/news/2018/oct/27/shooting-mass-casualties-reported-tree-life-synago/	The Tree of Life Synagogue reported an active shooting situation at 9:54 am Saturday morning, and law enforcement officers were dispatched within seconds, Mr Hissrich said at a press conference.
32	25	3	Synagogue shooting	Eleven dead, six wounded in Pittsburgh synagogue shooting; suspect in custody	The Washington Times	https://www.washingtontimes.com/news/2018/oct/27/shooting-mass-casualties-reported-tree-life-synago/	Law enforcement officials engaged the suspect upon arriving, and two police officers and two SWAT officers were among the six victims who suffered non-fatal injuries, Mr Hissrich added.
33	25	3	Synagogue shooting	Eleven dead, six wounded in Pittsburgh synagogue shooting; suspect in custody	The Washington Times	https://www.washingtontimes.com/news/2018/oct/27/shooting-mass-casualties-reported-tree-life-synago/	Located in the Squirrel Hill neighborhood of eastern Pittsburgh, Pennsylvania's second largest city, The Tree of Life Synagogue hosts weekly services every Saturday morning, according to its website.
34	26	3	Synagogue shooting	Synagogue shooter screamed 'All Jews must die' before opening fire	The New York Post	https://nypost.com/2018/10/27/shooter-screamed-all-jews-must-die-before-opening-fire-at-pittsburgh-synagogue/	 burst into a Pittsburgh synagogue during Sabbath services, shooting and killing at least 11 people and wounding a half-dozen more, including four police officers, before surrendering.
35	26	3	Synagogue shooting	Synagogue shooter screamed 'All Jews must die' before opening fire	The New York Post	https://nypost.com/2018/10/27/shooter-screamed-all-jews-must-die-before-opening-fire-at-pittsburgh-synagogue/	The conservative Tree of Life Synagogue had been packed with three separate congregations attending Saturday morning services when the bloodbath began at around 10 am  Congregants told MSNBC that a bris, or circumcision ceremony had been in progress.
36	26	3	Synagogue shooting	Synagogue shooter screamed 'All Jews must die' before opening fire	The New York Post	https://nypost.com/2018/10/27/shooter-screamed-all-jews-must-die-before-opening-fire-at-pittsburgh-synagogue/	Pennsylvania's Attorney General Josh Shapiro said the shooting happened during the portion of the ceremony when the child is given a Hebrew name.
37	26	3	Synagogue shooting	Synagogue shooter screamed 'All Jews must die' before opening fire	The New York Post	https://nypost.com/2018/10/27/shooter-screamed-all-jews-must-die-before-opening-fire-at-pittsburgh-synagogue/	The suspect - identified by CBS affiliate KDKA as 46-year-old Robert Bowers, a bearded, heavyset resident of Pittsburgh - was armed with an AR-15-style assault rifle and two handguns, according to multiple reports.
